Line Names,Line Loads
Imphal-Imphal1,-9.89
Imphal-Imphal2,-12.33
Imphal-Imphal3,-11.45
Yurembam-Yaingangpokpi 1,2.39
Yurembam-Yaingangpokpi 2,1.97
Yaingangpokpi-Kongba 1,-1.00
Yurembam-Karong,11.13
Loktak-Ningthoukhong,18.20
Ningthoukhong-PG,12.43
Ningthoukhong-Churachandpur 1,-4.30
Ningthoukhong-Churachandpur 2,4.58
Churachandpur-Kakching,2.57
Yaingangpokpi-Hundung,0.00
Karong-Kohima,4.05
Kakching-Chandel,0.32
Kakching-Elangkangpokpi,-0.67
Loktak-Jiribam (PG),6.88
Jiribam(PG)-Jiribam (MA),2.02
Jiribam(MA)-Rengpang,0.00
Loktak-Rengpang,-0.75
Jiribam(PG)-Tipaimukh,-3.65
Tipaimukh-Aizawl,3.20
Jiribam(PG)-Bardarpur,-2.63
Jiribam(PG)-Pailapur,11.36
Jiribam(PG)-Haflong,0.00
